altura,latitud,longitud
9317,-75.0580405432,35.3278467582
9316,-75.0620754992,35.3209964667
9315,-75.0661094137,35.314146831
9314,-75.0701422869,35.3072978513
9313,-75.0741741191,35.3004495275
9312,-75.0782049105,35.2936018595
9311,-75.0822346612,35.2867548474
9310,-75.0862633716,35.2799084912
9309,-75.0902910418,35.2730627908
9308,-75.0943176721,35.2662177463
9307,-75.0983432627,35.2593733576
9306,-75.1023678138,35.2525296248
9305,-75.1063913257,35.2456865478
9304,-75.1104137985,35.2388441266
9303,-75.1144352325,35.2320023613
9302,-75.1184556279,35.2251612518
9301,-75.122474985,35.2183207981
9300,-75.1264933039,35.2114810002
9299,-75.1305105849,35.2046418581
9298,-75.1345268282,35.1978033718
9297,-75.138542034,35.1909655412
9296,-75.1425562025,35.1841283665
9295,-75.1465693341,35.1772918475
9294,-75.1505814288,35.1704559844
9293,-75.154592487,35.1636207769
9292,-75.1586025088,35.1567862253
9291,-75.1626114944,35.1499523293
9290,-75.1666194442,35.1431190892
9289,-75.1706263582,35.1362865047
9288,-75.1746322368,35.129454576
9287,-75.1786370801,35.1226233031
9286,-75.1826408885,35.1157926858
9285,-75.186643662,35.1089627243
9284,-75.190645401,35.1021334185
9283,-75.1946461056,35.0953047684
9282,-75.198645776,35.0884767739
9281,-75.2026444126,35.0816494352
9280,-75.2066420155,35.0748227522
9279,-75.2106385849,35.0679967248
9278,-75.2146341211,35.0611713531
9277,-75.2186286243,35.0543466371
9276,-75.2226220946,35.0475225767
9275,-75.2266145324,35.040699172
9274,-75.2306059379,35.033876423
9273,-75.2345963112,35.0270543296
9272,-75.2385856527,35.0202328918
9271,-75.2425739624,35.0134121097
9270,-75.2465612407,35.0065919832
9269,-75.2505474878,34.9997725123
9268,-75.2545327038,34.992953697
9267,-75.2585168891,34.9861355373
9266,-75.2625000438,34.9793180333
9265,-75.2664821681,34.9725011848
9264,-75.2704632623,34.9656849919
9263,-75.2744433267,34.9588694546
9262,-75.2784223613,34.9520545729
9261,-75.2824003665,34.9452403467
9260,-75.2863773425,34.9384267762
9259,-75.2903532894,34.9316138611
9258,-75.2943282076,34.9248016017
9257,-75.2983020971,34.9179899978
9256,-75.3022749584,34.9111790494
9255,-75.3062467915,34.9043687565
9254,-75.3102175967,34.8975591192
9253,-75.3141873743,34.8907501374
9252,-75.3181561244,34.8839418112
9251,-75.3221238472,34.8771341404
9250,-75.3260905431,34.8703271252
9249,-75.3300562121,34.8635207654
9248,-75.3340208546,34.8567150612
9247,-75.3379844707,34.8499100124
9246,-75.3419470607,34.8431056191
9245,-75.3459086248,34.8363018813
9244,-75.3498691633,34.8294987989
9243,-75.3538286762,34.8226963721
9242,-75.357787164,34.8158946007
9241,-75.3617446267,34.8090934847
9240,-75.3657010646,34.8022930242
9239,-75.369656478,34.7954932191
9238,-75.373610867,34.7886940694
9237,-75.3775642319,34.7818955752
9236,-75.3815165728,34.7750977364
9235,-75.3854678901,34.768300553
9234,-75.389418184,34.7615040251
9233,-75.3933674546,34.7547081525
9232,-75.3973157021,34.7479129353
9231,-75.4012629269,34.7411183736
9230,-75.4052091291,34.7343244672
9229,-75.4091543089,34.7275312162
9228,-75.4130984666,34.7207386205
9227,-75.4170416024,34.7139466802
9226,-75.4209837165,34.7071553953
9225,-75.4249248091,34.7003647658
9224,-75.4288648805,34.6935747916
9223,-75.4328039309,34.6867854727
9222,-75.4367419604,34.6799968092
9221,-75.4406789694,34.673208801
9220,-75.444614958,34.6664214482
9219,-75.4485499265,34.6596347506
